ProgramCode,FromGrade,ToGrade,GroupState,IsNonAnnual,Days,TravelType,DepartureDate,ReturnDate,DepositDate,SpecialPay,Tuition,FRPActive,FRPCancelled,FRPTakeuppercent,EarlyRPL,LatestRPL,CancelledPax,TotalDiscountPax,InitialSystemDate,PovertyCode,Region,CRMSegment,SchoolType,ParentMeetingFlag,MDRLowGrade,MDRHighGrade,TotalSchoolEnrollment,IncomeLevel,EZPayTakeUpRate,SchoolSponsor,SPRProductType,SPRNewExisting,FPP,TotalPax,SPRGroupRevenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPPtoSchoolenrollment,FPPtoPAX,NumofNonFPPPAX,SchoolSizeIndicator,RetainedLabel
HD,8,8,FL,0,3,A,1/15/11,1/17/11,10/15/10,FIXED_NA,1181,17,6,0.708,4/29/10,8/16/10,6,3,1/28/10,C,Other,10,PUBLIC,1,6,8,955,O,0.042,0,East Coast,EXISTING,24,27,1181,1,9/13/10,9/13/10,124,124,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.02513089,0.888888889,3,L,Retained
Other,9,9,Other,0,8,A,1/24/11,1/31/11,10/1/10,FIXED_NA,3379,10,0,0.769,6/4/10,8/23/10,1,1,5/25/10,FIXED_NA,Other,7,CHD,1,FIXED_NA,0,0,FIXED_NA,0,0,East Coast,EXISTING,13,14,3379,1,9/8/10,9/8/10,138,138,High,High,High->High,Other,Undefined,Undefined,Undefined->Undefined,Other,1,0,0.928571429,1,FIXED_NA,Churned
Other,8,8,AZ,0,8,A,1/29/11,2/5/11,6/1/10,CP,2200,30,0,0.577,2/12/10,2/12/10,0,4,2/11/10,FIXED_NA,Other,5,CHD,1,6,12,500,K,0.231,0,East Coast,EXISTING,52,56,2200,1,9/8/10,9/8/10,143,143,Middle,Middle,Middle->Middle,Other,Middle,High,Middle->High,C,1,0.104,0.928571429,4,S-M,Retained
HD,8,8,TX,0,4,A,2/7/11,2/10/11,10/25/10,FIXED_NA,1428,51,1,0.773,4/1/10,8/11/10,1,6,3/31/10,FIXED_NA,Houston,5,Private non-Christian,1,PK,8,635,K,0.136,0,East Coast,EXISTING,66,72,1428,1,9/14/10,9/14/10,146,146,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,H,1,0.103937008,0.916666667,6,M-L,Retained
HD,5,5,CA,0,6,A,2/13/11,2/18/11,10/15/10,FIXED_NA,2235,21,1,0.636,2/1/10,8/31/10,2,4,1/26/10,FIXED_NA,Northern California,7,PUBLIC,1,FIXED_NA,0,0,Other,0.091,0,East Coast,EXISTING,33,37,2235,1,9/9/10,9/9/10,157,157,Elementary,Elementary,Elementary->Elementary,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.891891892,4,FIXED_NA,Retained
Other,8,8,Other,0,5,A,2/15/11,2/19/11,9/24/10,FIXED_NA,1805,16,4,0.552,4/15/10,8/31/10,5,2,4/14/10,B,Other,6,PUBLIC,1,6,8,626,N,0.345,0,Science,EXISTING,29,31,1805,2,4/24/10,8/30/10,297,169,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,S,1,0.046325879,0.935483871,2,M-L,Retained
HVP,7,7,Other,0,3,B,2/17/11,2/19/11,10/15/10,FIXED_NA,386,56,9,0.359,1/1/10,8/23/10,8,7,8/17/10,FIXED_NA,Other,7,PUBLIC,1,FIXED_NA,0,0,Other,0.173,0,East Coast,NEW,156,163,386,1,9/22/10,9/22/10,148,148,Middle,Middle,Middle->Middle,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.957055215,7,FIXED_NA,Retained
HD,8,8,CA,0,6,A,2/19/11,2/24/11,10/15/10,FIXED_NA,2469,14,2,0.778,3/10/10,8/31/10,2,1,3/10/10,FIXED_NA,Northern California,7,PUBLIC,1,FIXED_NA,0,0,FIXED_NA,0,0,East Coast,EXISTING,18,19,2469,2,5/21/10,10/5/10,274,137,Middle,Middle,Middle->Middle,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.947368421,1,FIXED_NA,Retained
HC,8,8,CA,1,6,A,2/20/11,2/25/11,10/25/10,FIXED_NA,2559,37,8,0.617,5/7/10,8/19/10,11,7,5/7/10,A,Northern California,5,PUBLIC,1,6,8,700,Q,0.233,0,East Coast,EXISTING,60,67,2559,1,10/1/10,10/1/10,142,142,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.085714286,0.895522388,7,M-L,Retained
HD,8,8,Other,0,4,A,2/23/11,2/26/11,10/5/10,FIXED_NA,1138,70,7,0.636,4/20/10,8/19/10,10,13,3/9/10,A,Other,4,PUBLIC,1,Other,6,240,M,0.355,0,East Coast,EXISTING,110,123,1138,1,9/28/10,9/28/10,148,148,Middle,Middle,Middle->Middle,Other,Elementary,Middle,Elementary->Middle,H,1,0.458333333,0.894308943,13,S,Retained
