ProgramCode,FromGrade,ToGrade,GroupState,IsNonAnnual,Days,TravelType,DepartureDate,ReturnDate,DepositDate,SpecialPay,Tuition,FRPActive,FRPCancelled,FRPTakeuppercent,EarlyRPL,LatestRPL,CancelledPax,TotalDiscountPax,InitialSystemDate,PovertyCode,Region,CRMSegment,SchoolType,ParentMeetingFlag,MDRLowGrade,MDRHighGrade,TotalSchoolEnrollment,IncomeLevel,EZPayTakeUpRate,SchoolSponsor,SPRProductType,SPRNewExisting,FPP,TotalPax,SPRGroupRevenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPPtoSchoolenrollment,FPPtoPAX,NumofNonFPPPAX,SchoolSizeIndicator,RetainedLabel
HS,4,4,CA,0,1,A,1/14/11,1/14/11,8/30/10,FIXED_NA,424,25,3,0.424,3/29/10,8/12/10,3,4,3/26/10,B,Southern California,4,PUBLIC,1,K,5,927,Q,0.17,1,CA History,EXISTING,59,63,424,1,8/12/10,8/12/10,155,155,Elementary,Elementary,Elementary->Elementary,Other,K,Elementary,K->Elementary,H,1,0.06364617,0.936507937,4,L,Retained
HC,8,8,AZ,0,7,A,1/14/11,1/21/11,11/15/09,CP,2350,9,9,0.409,10/20/09,8/10/10,11,3,10/2/09,C,Other,10,PUBLIC,1,7,8,850,Other,0.091,0,East Coast,EXISTING,22,25,2350,2,11/17/09,8/27/10,423,140,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.025882353,0.88,3,L,Retained
HD,8,8,FL,0,3,A,1/15/11,1/17/11,10/15/10,FIXED_NA,1181,17,6,0.708,4/29/10,8/16/10,6,3,1/28/10,C,Other,10,PUBLIC,1,6,8,955,O,0.042,0,East Coast,EXISTING,24,27,1181,1,9/13/10,9/13/10,124,124,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.02513089,0.888888889,3,L,Retained
HN,9,12,Other,1,3,B,1/15/11,1/17/11,1/7/11,FIXED_NA,376,0,0,0,1/1/10,1/1/10,1,0,10/19/10,FIXED_NA,Other,7,CHD,0,FIXED_NA,0,0,FIXED_NA,0,0,East Coast,EXISTING,18,18,376,0,1/1/10,1/1/10,0,0,High,High,High->High,Other,Undefined,Undefined,Undefined->Undefined,H,0,0,1,0,FIXED_NA,Churned
HD,6,8,FL,0,6,Other,1/16/11,1/21/11,9/30/10,FIXED_NA,865,40,8,0.494,3/29/10,8/12/10,9,8,3/23/10,Other,Other,10,PUBLIC,1,6,8,720,C,0.383,0,East Coast,EXISTING,81,89,865,1,8/24/10,8/24/10,145,145,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,0,0.1125,0.91011236,8,M-L,Churned
HC,10,12,Other,0,4,A,1/17/11,1/20/11,9/30/10,FIXED_NA,2025,9,4,0.9,3/16/10,10/6/10,3,1,3/16/10,C,Other,8,PUBLIC,1,Other,12,939,I,0.1,0,East Coast,NEW,10,11,2025,1,10/18/10,10/18/10,91,91,High,High,High->High,Other,High,High,High->High,H,0,0.010649627,0.909090909,1,L,Retained
Other,11,12,Other,1,6,A,1/18/11,1/23/11,10/15/10,FIXED_NA,1977,16,4,0.64,2/25/10,9/1/10,5,2,2/25/10,FIXED_NA,Other,8,Catholic,1,9,12,225,G,0.08,0,Science,EXISTING,25,27,1977,1,11/16/10,11/16/10,63,63,High,High,High->High,Other,High,High,High->High,S,0,0.111111111,0.925925926,2,S,Churned
Other,9,9,Other,0,8,A,1/24/11,1/31/11,10/1/10,FIXED_NA,3379,10,0,0.769,6/4/10,8/23/10,1,1,5/25/10,FIXED_NA,Other,7,CHD,1,FIXED_NA,0,0,FIXED_NA,0,0,East Coast,EXISTING,13,14,3379,1,9/8/10,9/8/10,138,138,High,High,High->High,Other,Undefined,Undefined,Undefined->Undefined,Other,1,0,0.928571429,1,FIXED_NA,Churned
Other,8,8,AZ,0,8,A,1/29/11,2/5/11,6/1/10,CP,2200,30,0,0.577,2/12/10,2/12/10,0,4,2/11/10,FIXED_NA,Other,5,CHD,1,6,12,500,K,0.231,0,East Coast,EXISTING,52,56,2200,1,9/8/10,9/8/10,143,143,Middle,Middle,Middle->Middle,Other,Middle,High,Middle->High,C,1,0.104,0.928571429,4,S-M,Retained
HD,8,8,TX,0,4,A,2/7/11,2/10/11,10/25/10,FIXED_NA,1428,51,1,0.773,4/1/10,8/11/10,1,6,3/31/10,FIXED_NA,Houston,5,Private non-Christian,1,PK,8,635,K,0.136,0,East Coast,EXISTING,66,72,1428,1,9/14/10,9/14/10,146,146,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,H,1,0.103937008,0.916666667,6,M-L,Retained
CD,8,8,FL,0,4,A,2/7/11,2/10/11,9/30/10,FIXED_NA,999,47,1,0.566,9/2/10,9/2/10,1,4,3/31/10,FIXED_NA,Other,10,CHD,1,K,12,746,O,0.096,1,East Coast,EXISTING,83,87,999,1,9/9/10,9/9/10,151,151,Middle,Middle,Middle->Middle,Other,K,High,K->High,C,1,0.111260054,0.954022989,4,M-L,Retained
HD,8,8,FL,0,4,A,2/7/11,2/10/11,10/15/10,FIXED_NA,1388,32,0,0.8,2/11/10,8/20/10,0,5,2/11/10,FIXED_NA,Other,10,CHD,1,PK,8,650,L,0.3,1,East Coast,EXISTING,40,45,1388,1,9/14/10,9/14/10,146,146,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,H,1,0.061538462,0.888888889,5,M-L,Retained
HD,8,8,CA,0,6,A,2/12/11,2/17/11,10/15/10,FIXED_NA,2278,10,6,0.455,2/24/10,8/27/10,6,1,2/24/10,A,Northern California,5,PUBLIC,1,6,8,670,Q,0.136,0,East Coast,EXISTING,22,23,2278,1,9/15/10,9/15/10,150,150,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.032835821,0.956521739,1,M-L,Retained
HD,8,8,CA,0,6,A,2/12/11,2/17/11,10/9/10,FIXED_NA,2339,20,1,0.625,3/1/10,8/23/10,2,4,2/27/10,B,Northern California,5,PUBLIC,1,6,8,750,L,0.125,0,East Coast,EXISTING,32,36,2339,1,9/1/10,9/1/10,164,164,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.042666667,0.888888889,4,M-L,Retained
HD,5,5,CA,0,6,A,2/13/11,2/18/11,10/15/10,FIXED_NA,2235,21,1,0.636,2/1/10,8/31/10,2,4,1/26/10,FIXED_NA,Northern California,7,PUBLIC,1,FIXED_NA,0,0,Other,0.091,0,East Coast,EXISTING,33,37,2235,1,9/9/10,9/9/10,157,157,Elementary,Elementary,Elementary->Elementary,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.891891892,4,FIXED_NA,Retained
Other,8,8,Other,0,5,A,2/15/11,2/19/11,10/15/10,FIXED_NA,1830,22,1,0.733,4/15/10,8/31/10,4,3,4/14/10,B,Other,6,PUBLIC,1,6,8,753,I,0.167,0,Science,EXISTING,30,33,1830,2,4/28/10,9/10/10,293,158,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,S,1,0.039840637,0.909090909,3,M-L,Retained
Other,8,8,Other,0,5,A,2/15/11,2/19/11,9/24/10,FIXED_NA,1805,16,4,0.552,4/15/10,8/31/10,5,2,4/14/10,B,Other,6,PUBLIC,1,6,8,626,N,0.345,0,Science,EXISTING,29,31,1805,2,4/24/10,8/30/10,297,169,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,S,1,0.046325879,0.935483871,2,M-L,Retained
Other,8,8,Other,0,5,A,2/15/11,2/19/11,10/15/10,FIXED_NA,1880,5,1,0.556,4/15/10,9/2/10,1,1,4/14/10,B,Other,7,PUBLIC,1,6,8,467,H,0.444,0,Science,EXISTING,9,10,1880,2,5/4/10,9/14/10,287,154,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,S,1,0.019271949,0.9,1,S-M,Retained
HD,8,8,Other,0,3,A,2/16/11,2/19/11,10/15/10,FIXED_NA,1393,25,2,0.658,2/4/10,8/23/10,3,3,2/5/10,B,Other,10,PUBLIC,1,6,8,360,K,0.395,0,East Coast,EXISTING,38,41,1393,1,9/2/10,9/2/10,167,167,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.105555556,0.926829268,3,S-M,Retained
HD,8,8,Other,0,4,A,2/16/11,2/19/11,10/1/10,FIXED_NA,1271,33,9,0.733,3/30/10,10/5/10,9,5,3/30/10,C,Other,1,PUBLIC,1,5,7,345,E,0.311,0,East Coast,NEW,45,50,1271,2,4/21/10,9/17/10,301,152,Middle,Middle,Middle->Middle,Other,Elementary,Middle,Elementary->Middle,H,1,0.130434783,0.9,5,S-M,Retained
HD,8,8,MI,0,5,B,2/16/11,2/20/11,10/15/10,FIXED_NA,812,34,5,0.453,2/11/10,8/30/10,8,5,2/10/10,B,Other,10,PUBLIC,1,6,8,664,M,0.213,0,East Coast,EXISTING,75,80,812,1,9/14/10,9/14/10,155,155,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.112951807,0.9375,5,M-L,Retained
Other,11,12,Other,1,7,A,2/16/11,2/22/11,10/29/10,FIXED_NA,2785,13,2,0.619,11/13/09,9/13/10,2,2,11/7/09,A,Other,6,PUBLIC,1,9,12,1693,P,0.286,0,Science,EXISTING,21,23,2785,2,9/23/10,9/30/10,146,139,High,High,High->High,Other,High,High,High->High,S,0,0.012404017,0.913043478,2,L,Retained
HVP,7,7,Other,0,3,B,2/17/11,2/19/11,10/15/10,FIXED_NA,386,56,9,0.359,1/1/10,8/23/10,8,7,8/17/10,FIXED_NA,Other,7,PUBLIC,1,FIXED_NA,0,0,Other,0.173,0,East Coast,NEW,156,163,386,1,9/22/10,9/22/10,148,148,Middle,Middle,Middle->Middle,Other,Undefined,Undefined,Undefined->Undefined,H,1,0,0.957055215,7,FIXED_NA,Retained
HD,8,8,OH,0,3,B,2/17/11,2/20/11,11/1/10,FIXED_NA,718,19,4,0.5,3/3/10,8/30/10,6,5,3/2/10,A,Other,10,PUBLIC,1,6,8,760,N,0.105,0,East Coast,EXISTING,38,43,718,1,9/2/10,9/2/10,168,168,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.05,0.88372093,5,M-L,Retained
HD,7,7,MN,0,4,A,2/17/11,2/20/11,11/1/10,FR,1362,15,0,0.75,3/4/10,8/27/10,1,2,3/4/10,C,Other,10,PUBLIC,1,7,8,641,K,0.2,0,East Coast,EXISTING,20,22,1362,1,9/16/10,9/16/10,154,154,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.031201248,0.909090909,2,M-L,Retained
HD,8,8,TX,0,4,A,2/17/11,2/20/11,10/5/10,FIXED_NA,1629,53,4,0.747,3/1/10,8/30/10,4,5,2/27/10,FIXED_NA,Dallas,5,CHD,1,PK,12,700,H,0.127,0,East Coast,EXISTING,71,76,1629,1,9/10/10,9/10/10,160,160,Middle,Middle,Middle->Middle,Other,PK,High,PK->High,H,1,0.101428571,0.934210526,5,M-L,Retained
HD,8,8,Other,0,4,A,2/17/11,2/21/11,10/15/10,FIXED_NA,1899,9,1,0.818,1/22/10,9/15/10,0,1,1/22/10,FIXED_NA,Other,5,Private non-Christian,1,PK,12,1300,P,0.182,0,East Coast,EXISTING,11,12,1899,1,9/22/10,9/22/10,148,148,Middle,Middle,Middle->Middle,Other,PK,High,PK->High,H,1,0.008461538,0.916666667,1,L,Retained
HD,8,8,MI,0,5,B,2/18/11,2/22/11,10/29/10,FIXED_NA,662,50,3,0.27,4/5/10,9/13/10,5,12,2/18/10,A,Other,5,PUBLIC,1,6,8,685,O,0.011,0,East Coast,EXISTING,185,197,662,1,9/27/10,9/27/10,144,144,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.270072993,0.939086294,12,M-L,Retained
HD,0,0,MI,0,4,B,2/18/11,2/22/11,10/29/10,FIXED_NA,684,27,5,0.5,4/20/10,8/26/10,9,4,3/22/10,A,Other,5,PUBLIC,1,6,8,702,Q,0.019,0,East Coast,EXISTING,54,58,684,2,9/14/10,9/23/10,157,148,Undefined,Undefined,Undefined->Undefined,Other,Middle,Middle,Middle->Middle,H,0,0.076923077,0.931034483,4,M-L,Retained
HD,0,0,MI,0,4,B,2/18/11,2/22/11,10/29/10,FIXED_NA,677,39,1,0.52,4/20/10,8/17/10,4,6,3/22/10,A,Other,5,PUBLIC,1,6,8,698,Q,0.107,0,East Coast,EXISTING,75,81,677,1,10/7/10,10/7/10,134,134,Undefined,Undefined,Undefined->Undefined,Other,Middle,Middle,Middle->Middle,H,0,0.107449857,0.925925926,6,M-L,Retained
HD,8,8,MI,0,5,B,2/18/11,2/22/11,10/1/10,FIXED_NA,726,27,1,0.587,3/15/10,9/7/10,3,4,3/12/10,A,Other,5,PUBLIC,1,6,8,604,Q,0.196,0,East Coast,EXISTING,46,50,726,2,5/13/10,9/21/10,281,150,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.07615894,0.92,4,M-L,Retained
HD,8,8,IL,0,3,A,2/19/11,2/21/11,10/1/10,FIXED_NA,1115,78,5,0.796,4/8/10,8/11/10,7,10,1/27/10,A,Other,10,PUBLIC,0,6,8,597,Q,0.337,0,East Coast,EXISTING,98,108,1115,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.164154104,0.907407407,10,M-L,Retained
HD,8,8,OH,1,3,A,2/19/11,2/21/11,10/15/10,FIXED_NA,1186,10,0,0.833,2/11/10,8/20/10,0,1,2/11/10,FIXED_NA,Other,10,Catholic,0,K,8,500,J,0,0,East Coast,EXISTING,12,13,1186,0,1/1/10,1/1/10,0,0,Middle,Middle,Middle->Middle,Other,K,Middle,K->Middle,H,1,0.024,0.923076923,1,S-M,Retained
HD,7,8,IL,0,3,A,2/19/11,2/21/11,10/23/10,FIXED_NA,999,12,0,0.857,2/15/10,8/27/10,0,2,2/16/10,B,Other,10,PUBLIC,1,7,8,320,L,0.286,0,East Coast,EXISTING,14,16,999,1,9/14/10,9/14/10,158,158,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,0,0.04375,0.875,2,S,Retained
HD,8,8,Other,0,3,A,2/19/11,2/21/11,10/20/10,FIXED_NA,1174,28,5,0.718,3/3/10,8/10/10,7,4,3/2/10,A,Other,5,PUBLIC,1,7,8,794,P,0.308,0,East Coast,EXISTING,39,43,1174,1,8/18/10,8/18/10,185,185,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.049118388,0.906976744,4,M-L,Retained
HD,8,8,Other,0,3,A,2/19/11,2/21/11,10/20/10,FIXED_NA,1174,72,13,0.686,3/2/10,8/10/10,15,7,3/2/10,A,Other,5,PUBLIC,1,7,8,955,P,0.229,0,East Coast,EXISTING,105,112,1174,1,8/18/10,8/18/10,185,185,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.109947644,0.9375,7,L,Retained
HD,8,8,Other,0,3,A,2/19/11,2/21/11,10/20/10,FIXED_NA,1174,37,3,0.804,3/3/10,8/10/10,3,3,3/2/10,A,Other,10,PUBLIC,1,7,8,966,P,0.283,0,East Coast,EXISTING,46,49,1174,1,8/17/10,8/17/10,186,186,Middle,Middle,Middle->Middle,Other,Middle,Middle,Middle->Middle,H,1,0.047619048,0.93877551,3,L,Retained
Other,6,8,CA,0,5,A,2/19/11,2/23/11,10/15/10,FIXED_NA,2202,21,1,0.84,4/5/10,8/17/10,1,2,4/2/10,FIXED_NA,Northern California,4,Private non-Christian,1,PK,8,321,Q,0.36,0,Science,NEW,25,27,2202,1,8/31/10,8/31/10,172,172,Middle,Middle,Middle->Middle,Other,PK,Middle,PK->Middle,S,0,0.07788162,0.925925926,2,S,Retained
